PostCode,Parcels,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9,Sum cost per area
1,2792,0,0,0,0,1053,0,1739,0,0,12480.24
2,1492,311,0,311,288,240,342,0,0,0,6628.429999999999
3,1436,491,446,0,499,0,0,0,0,0,6274.599999999999
4,2590,628,473,473,0,508,0,508,0,0,11390.129999999997
5,8436,0,0,4347,4089,0,0,0,0,0,37831.59
6,4314,714,683,714,728,624,851,0,0,0,19076.44
7,3833,1940,1893,0,0,0,0,0,0,0,16481.9
8,7922,4018,0,0,0,0,0,3904,0,0,34728.28
9,3592,1832,1760,0,0,0,0,0,0,0,15445.599999999999
10,6193,0,1709,0,1725,2759,0,0,0,0,27443.93
11,2896,0,0,0,0,0,0,2896,0,0,12945.119999999999
12,689,350,339,0,0,0,0,0,0,0,2962.7
13,6393,0,6393,0,0,0,0,0,0,0,27489.899999999998
14,838,0,838,0,0,0,0,0,0,0,3603.3999999999996
15,843,432,0,0,0,411,0,0,0,0,3694.7699999999995
16,446,0,0,0,0,0,0,446,0,0,1993.62
17,154,0,77,77,0,0,0,0,0,0,675.2899999999998
18,791,791,0,0,0,0,0,0,0,0,3401.2999999999997
19,151,0,0,151,0,0,0,0,0,0,674.9699999999999
20,180,93,87,0,0,0,0,0,0,0,774.0
21,80,20,18,0,0,21,0,21,0,0,351.14
22,315,66,60,60,0,63,0,66,0,0,1386.6299999999999
23,2357,1148,1209,0,0,0,0,0,0,0,10135.099999999999
24,6074,6074,0,0,0,0,0,0,0,0,26118.2
25,2086,0,0,2086,0,0,0,0,0,0,9324.42
26,612,0,0,612,0,0,0,0,0,0,2735.64
27,353,0,0,0,353,0,0,0,0,0,1588.5
28,423,67,68,144,0,72,0,72,0,0,1867.8599999999997
29,2372,2372,0,0,0,0,0,0,0,0,10199.6
30,2147,0,697,752,0,0,0,698,0,0,9478.6
31,397,97,100,100,0,0,0,100,0,0,1741.0999999999997
32,1951,266,468,266,0,286,399,266,0,0,8600.180000000002
33,2645,0,0,0,0,1267,0,1378,0,0,11823.15
34,10639,0,7224,0,0,0,0,3415,0,0,46328.24999999999
35,2959,2959,0,0,0,0,0,0,0,0,12723.699999999999
36,1196,0,0,0,0,1196,0,0,0,0,5346.12
37,1014,1014,0,0,0,0,0,0,0,0,4360.2
38,479,90,91,0,92,88,118,0,0,0,2114.3
39,1517,520,521,0,0,476,0,0,0,0,6604.019999999999
40,373,189,0,0,0,184,0,0,0,0,1635.1799999999998
41,2058,2058,0,0,0,0,0,0,0,0,8849.4
42,1255,0,422,0,0,411,0,422,0,0,5538.109999999999
43,1038,0,1038,0,0,0,0,0,0,0,4463.400000000001
44,112,55,57,0,0,0,0,0,0,0,481.6
45,77,25,26,0,0,26,0,0,0,0,335.52
46,1089,0,550,0,0,539,0,0,0,0,4774.33
47,959,959,0,0,0,0,0,0,0,0,4123.7
48,3565,721,703,0,750,688,0,703,0,0,15715.97
49,1847,0,0,0,0,560,717,570,0,0,8263.26
50,524,100,100,100,0,112,0,112,0,0,2308.2799999999997
51,1286,0,0,0,0,1286,0,0,0,0,5748.42
52,1692,0,722,0,0,0,970,0,0,0,7450.200000000001
53,846,0,0,0,371,0,475,0,0,0,3797.5
54,361,57,61,57,60,63,0,63,0,0,1595.4099999999999
55,1794,560,0,0,0,0,674,560,0,0,7930.72
56,948,0,948,0,0,0,0,0,0,0,4076.3999999999996
57,3564,662,682,682,0,649,889,0,0,0,15711.49
58,218,74,70,74,0,0,0,0,0,0,949.98
59,301,0,0,71,78,74,0,78,0,0,1347.81
60,1518,0,0,1518,0,0,0,0,0,0,6785.46
61,1152,0,0,0,0,497,655,0,0,0,5155.99
62,266,0,0,0,0,129,0,137,0,0,1189.02
63,888,888,0,0,0,0,0,0,0,0,3818.3999999999996
64,3326,0,0,0,0,0,0,3326,0,0,14867.22
65,443,0,443,0,0,0,0,0,0,0,1904.8999999999999
66,1032,263,259,247,0,0,0,263,0,0,4524.3
67,1009,0,0,0,1009,0,0,0,0,0,4540.5
68,156,0,156,0,0,0,0,0,0,0,670.8
69,592,0,145,141,0,153,0,153,0,0,2621.5899999999997
70,1249,308,319,319,0,303,0,0,0,0,5476.44
71,3808,0,1157,0,0,1150,1501,0,0,0,16840.079999999998
72,31,0,31,0,0,0,0,0,0,0,133.29999999999998
,Volume Assigned per fleet,33212,33043,13302,10042,15888,7591,21896,0,0
,Sum cost per fleet,142811.59999999995,142084.9,59459.93999999996,45189.0,71019.36,34007.68000000001,97875.12000000001,0.0,0.0,592447
,Sum Productivity per fleet,1.9717342129509308,2.6819109693435967,1.0794223728402002,0.46466644301165894,1.4520853500439062,0.17602443422387673,1.4148731895517805,0.0,0.0,9.2
