Postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
1,92.6%,81.8%,90.7%,90.1%,60.0%,90.7%,100.0%,90.7%,90.7%
2,96.8%,92.0%,100.0%,90.7%,76.0%,80.2%,90.8%,90.8%,90.8%
3,97.2%,89.7%,88.3%,100.0%,66.7%,88.3%,100.0%,88.3%,88.3%
4,93.8%,84.1%,100.0%,92.5%,90.3%,92.5%,91.5%,92.5%,92.5%
5,94.7%,87.2%,100.0%,92.8%,62.5%,77.9%,50.0%,94.5%,94.5%
6,96.3%,94.2%,100.0%,100.0%,85.7%,86.7%,100.0%,94.8%,94.8%
7,94.0%,91.8%,96.4%,97.4%,75.0%,96.4%,97.8%,96.4%,96.4%
8,97.5%,71.2%,100.0%,100.0%,84.5%,92.6%,94.1%,92.6%,92.6%
9,93.2%,90.1%,100.0%,96.8%,83.3%,94.5%,94.5%,94.5%,94.5%
10,97.2%,92.8%,95.6%,92.6%,100.0%,91.5%,95.6%,95.6%,95.6%
11,100.0%,88.1%,93.4%,93.4%,100.0%,93.4%,94.9%,93.4%,93.4%
12,100.0%,96.4%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%,98.5%
13,97.9%,89.1%,100.0%,96.5%,95.9%,96.5%,96.7%,96.5%,96.5%
14,95.6%,94.3%,98.2%,97.6%,100.0%,97.6%,98.8%,97.6%,97.6%
15,100.0%,90.3%,85.7%,93.9%,94.8%,93.9%,97.1%,93.9%,93.9%
16,96.8%,92.9%,97.3%,97.7%,97.9%,97.7%,99.2%,97.7%,97.7%
17,100.0%,89.5%,100.0%,99.3%,100.0%,99.3%,100.0%,99.3%,99.3%
18,97.4%,96.5%,94.4%,97.1%,100.0%,97.1%,98.6%,97.1%,97.1%
19,100.0%,94.4%,100.0%,98.6%,100.0%,98.6%,99.2%,98.6%,98.6%
20,97.9%,90.9%,100.0%,98.5%,100.0%,98.5%,98.8%,98.5%,98.5%
21,100.0%,87.0%,98.3%,98.3%,100.0%,98.3%,97.4%,98.3%,98.3%
22,99.2%,88.5%,94.3%,96.5%,94.3%,96.5%,99.3%,96.5%,96.5%
23,95.2%,100.0%,97.0%,97.0%,93.6%,97.0%,97.0%,97.0%,97.0%
24,90.5%,91.6%,100.0%,90.7%,89.1%,95.7%,94.7%,94.0%,94.0%
25,88.7%,95.7%,100.0%,97.3%,94.1%,100.0%,90.0%,96.1%,96.1%
26,95.1%,83.7%,100.0%,100.0%,93.1%,92.9%,95.5%,96.5%,96.5%
27,91.0%,93.3%,100.0%,70.6%,72.2%,100.0%,92.2%,95.4%,95.4%
28,92.6%,93.2%,100.0%,85.0%,97.2%,100.0%,100.0%,96.0%,96.0%
29,100.0%,82.1%,100.0%,91.5%,92.3%,91.5%,94.8%,91.5%,91.5%
30,87.0%,92.4%,100.0%,84.8%,91.3%,100.0%,92.7%,94.9%,94.9%
31,89.2%,93.8%,100.0%,92.3%,86.2%,100.0%,94.7%,95.6%,95.6%
32,84.1%,90.0%,100.0%,97.9%,94.6%,100.0%,89.4%,96.6%,96.6%
33,100.0%,84.4%,100.0%,93.6%,87.5%,93.6%,96.0%,93.6%,93.6%
34,85.0%,70.0%,100.0%,95.9%,93.3%,100.0%,94.7%,95.7%,95.7%
35,97.1%,96.0%,72.7%,97.1%,93.0%,97.1%,100.0%,97.1%,97.1%
36,96.9%,94.8%,100.0%,100.0%,96.3%,96.0%,97.7%,97.7%,97.7%
37,97.2%,97.3%,97.8%,100.0%,96.0%,96.9%,98.8%,97.8%,97.8%
38,97.5%,98.5%,100.0%,100.0%,96.4%,93.9%,97.4%,97.5%,97.5%
39,95.6%,95.6%,92.6%,92.6%,86.7%,92.6%,92.6%,92.6%,92.6%
40,92.5%,91.4%,90.9%,90.9%,90.0%,90.9%,90.9%,90.9%,90.9%
41,96.8%,97.2%,100.0%,95.8%,91.0%,99.1%,97.0%,95.8%,95.8%
42,97.3%,96.4%,100.0%,96.7%,94.6%,96.7%,97.9%,96.7%,96.7%
43,100.0%,83.3%,93.8%,93.8%,88.9%,93.8%,95.6%,93.8%,93.8%
44,92.3%,93.3%,86.5%,86.5%,71.4%,86.5%,86.5%,86.5%,86.5%
45,98.0%,100.0%,99.3%,99.3%,100.0%,99.3%,99.3%,99.3%,99.3%
46,95.7%,95.7%,90.0%,50.0%,93.6%,86.3%,96.3%,86.3%,86.3%
47,97.2%,97.5%,94.8%,96.8%,95.7%,96.8%,96.8%,96.8%,96.8%
48,95.2%,93.7%,95.0%,100.0%,91.7%,95.0%,94.4%,95.0%,95.0%
49,95.5%,98.7%,97.5%,97.5%,97.1%,94.0%,97.2%,97.5%,97.5%
50,85.7%,90.5%,94.5%,75.0%,100.0%,88.8%,100.0%,94.2%,94.2%
51,97.0%,97.6%,97.1%,97.1%,92.7%,94.4%,98.2%,97.1%,97.1%
52,90.7%,93.8%,83.9%,100.0%,95.5%,94.5%,90.4%,91.1%,91.1%
53,96.7%,99.3%,100.0%,100.0%,96.2%,95.0%,98.2%,98.0%,98.0%
54,83.3%,97.4%,97.0%,97.2%,100.0%,100.0%,99.6%,97.2%,97.2%
55,97.7%,88.7%,94.7%,95.3%,100.0%,88.6%,98.4%,95.3%,95.3%
56,100.0%,97.6%,95.1%,95.1%,81.3%,95.1%,100.0%,95.1%,95.1%
57,87.1%,91.2%,94.1%,89.4%,86.9%,89.8%,95.8%,95.3%,95.3%
58,100.0%,94.8%,100.0%,100.0%,100.0%,100.0%,98.6%,98.6%,98.6%
59,94.4%,95.5%,90.3%,100.0%,93.7%,94.8%,97.7%,95.6%,95.6%
60,76.5%,93.6%,96.8%,100.0%,96.6%,100.0%,98.0%,96.1%,96.1%
61,95.0%,98.8%,97.2%,100.0%,95.1%,92.9%,100.0%,97.2%,97.2%
62,97.3%,98.2%,97.9%,97.9%,95.2%,97.9%,100.0%,97.9%,97.9%
63,96.6%,94.9%,97.3%,100.0%,93.5%,100.0%,100.0%,97.3%,97.3%
64,100.0%,90.4%,94.6%,100.0%,75.0%,93.0%,97.8%,95.4%,95.4%
65,99.3%,97.8%,95.0%,100.0%,89.3%,95.0%,87.5%,95.0%,95.0%
66,98.0%,95.8%,92.3%,100.0%,98.0%,96.9%,98.2%,96.9%,96.9%
67,95.9%,98.7%,98.3%,100.0%,96.8%,98.3%,100.0%,98.3%,98.3%
68,97.6%,96.9%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%,97.6%
69,91.4%,94.3%,92.4%,97.4%,100.0%,60.0%,100.0%,93.7%,93.7%
70,90.9%,91.2%,96.7%,93.8%,88.9%,93.8%,98.6%,93.8%,93.8%
71,96.3%,95.7%,93.9%,93.2%,95.5%,92.8%,98.7%,93.7%,93.7%
72,99.4%,93.8%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%,99.4%
