Postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
1,0.80%,1.20%,1.20%,3.40%,2.20%,1.20%,1.20%,1.20%,1.20%
2,0.70%,0.60%,0.60%,0.90%,0.60%,1.20%,0.60%,0.60%,0.60%
3,1.60%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
4,0.10%,0.25%,0.25%,0.25%,0.25%,0.25%,0.90%,0.25%,0.25%
5,0.70%,0.70%,0.30%,1.60%,0.10%,0.30%,50.00%,0.30%,0.30%
6,0.50%,0.30%,0.60%,0.60%,0.60%,1.50%,100.00%,0.60%,0.60%
7,1.50%,1.40%,1.40%,2.60%,25.00%,1.40%,1.20%,1.40%,1.40%
8,0.15%,0.15%,0.15%,0.15%,2.10%,0.15%,0.80%,0.15%,0.15%
9,1.00%,0.30%,20.00%,0.10%,16.70%,5.23%,5.23%,5.23%,5.23%
10,1.00%,0.15%,0.15%,1.30%,33.30%,0.15%,0.15%,0.15%,0.15%
11,0.10%,0.30%,0.30%,0.30%,0.70%,0.30%,0.60%,0.30%,0.30%
12,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
13,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
14,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
17,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
19,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
21,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
22,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
23,0.10%,0.20%,0.20%,0.20%,0.80%,0.20%,0.20%,0.20%,0.20%
24,0.60%,0.50%,0.10%,0.46%,4.00%,0.46%,0.30%,0.46%,0.46%
25,0.50%,0.30%,0.20%,0.38%,1.50%,0.38%,0.30%,0.38%,0.38%
26,0.27%,9.30%,100.00%,0.27%,1.70%,0.27%,0.10%,0.27%,0.27%
27,0.30%,0.10%,0.20%,0.24%,0.20%,0.24%,1.30%,0.24%,0.24%
28,1.10%,0.40%,50.00%,0.24%,2.40%,0.24%,0.20%,0.24%,0.24%
29,0.10%,1.20%,1.20%,1.20%,3.30%,1.20%,0.70%,1.20%,1.20%
30,0.20%,0.20%,0.10%,0.22%,1.30%,0.22%,0.10%,0.22%,0.22%
31,0.50%,0.20%,0.35%,0.35%,3.40%,0.35%,0.60%,0.35%,0.35%
32,0.50%,40.00%,0.20%,0.26%,1.30%,0.26%,0.20%,0.26%,0.26%
33,0.85%,0.85%,0.85%,0.85%,1.50%,0.85%,0.50%,0.85%,0.85%
34,0.40%,0.38%,0.10%,0.38%,1.40%,0.38%,0.30%,0.38%,0.38%
35,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
36,1.70%,0.50%,0.75%,0.75%,0.75%,2.20%,0.40%,0.75%,0.75%
37,0.50%,0.70%,0.45%,0.45%,1.10%,0.45%,0.10%,0.45%,0.45%
38,0.50%,0.60%,0.23%,0.23%,0.23%,1.80%,0.10%,0.23%,0.23%
39,0.10%,0.10%,0.45%,0.45%,0.80%,0.45%,0.45%,0.45%,0.45%
40,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
41,0.60%,0.80%,0.36%,0.36%,0.50%,0.90%,0.20%,0.36%,0.36%
42,0.40%,0.20%,0.25%,0.25%,0.25%,0.25%,0.10%,0.25%,0.25%
43,0.10%,16.70%,4.43%,4.43%,0.80%,4.43%,0.70%,4.43%,4.43%
44,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%
45,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
46,1.00%,0.60%,0.63%,0.63%,0.70%,0.63%,0.30%,0.63%,0.63%
47,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
48,0.20%,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
49,1.45%,0.30%,1.45%,1.45%,1.45%,0.60%,2.80%,1.45%,1.45%
50,0.50%,0.30%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%
51,0.23%,1.80%,0.23%,0.23%,0.23%,1.60%,0.20%,0.23%,0.23%
52,0.20%,0.30%,0.20%,0.20%,0.20%,0.30%,0.20%,0.20%,0.20%
53,0.20%,1.70%,0.20%,0.20%,0.20%,1.20%,0.20%,0.20%,0.20%
54,4.20%,0.90%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
55,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
56,0.10%,0.60%,0.10%,0.10%,0.10%,0.10%,100.00%,0.10%,0.10%
57,3.20%,0.40%,0.20%,0.90%,1.60%,0.90%,0.20%,0.20%,0.20%
58,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%,1.00%
59,0.10%,3.40%,0.20%,0.20%,0.20%,5.70%,0.20%,0.20%,0.20%
