Postcode,Parcels
1,2792
2,1492
3,1436
4,2590
5,8436
6,4314
7,3833
8,7922
9,3592
10,6193
11,2896
12,689
13,6393
14,838
15,843
16,446
17,154
18,791
19,151
20,180
21,80
22,315
23,2357
24,6074
25,2086
26,612
27,353
28,423
29,2372
30,2147
31,397
32,1951
33,2645
34,10639
35,2959
36,1196
37,1014
38,479
39,1517
40,373
41,2058
42,1255
43,1038
44,112
45,77
46,1089
47,959
48,3565
49,1847
50,524
51,1286
52,1692
53,846
54,361
55,1794
56,948
57,3564
58,218
59,301
60,1518
61,1152
62,266
63,888
64,3326
65,443
66,1032
67,1009
68,156
69,592
70,1249
71,3808
72,31
