postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
1,no,yes,no,yes,yes,no,yes,no,no
2,yes,yes,yes,yes,yes,yes,no,no,no
3,yes,yes,no,yes,yes,no,no,no,no
4,yes,yes,yes,no,yes,no,yes,no,no
5,yes,yes,yes,yes,yes,no,yes,no,no
6,yes,yes,yes,yes,yes,yes,no,no,no
7,yes,yes,no,yes,yes,no,yes,no,no
8,yes,yes,yes,yes,yes,no,yes,no,no
9,yes,yes,yes,yes,yes,no,no,no,no
10,yes,yes,no,yes,yes,no,no,no,no
11,yes,yes,no,no,yes,no,yes,no,no
12,yes,yes,no,no,no,no,no,no,no
13,yes,yes,yes,no,yes,no,yes,no,no
14,yes,yes,yes,no,yes,no,yes,no,no
15,yes,yes,yes,no,yes,no,yes,no,no
16,yes,yes,yes,no,yes,no,yes,no,no
17,yes,yes,yes,no,yes,no,yes,no,no
18,yes,yes,yes,no,yes,no,yes,no,no
19,yes,yes,yes,no,yes,no,yes,no,no
20,yes,yes,yes,no,yes,no,yes,no,no
21,yes,yes,no,no,yes,no,yes,no,no
22,yes,yes,yes,no,yes,no,yes,no,no
23,yes,yes,no,no,yes,no,no,no,no
24,yes,yes,yes,no,yes,no,yes,no,no
25,yes,yes,yes,no,yes,no,yes,no,no
26,yes,yes,yes,no,yes,yes,yes,no,no
27,yes,yes,yes,yes,yes,no,yes,no,no
28,yes,yes,yes,no,yes,no,yes,no,no
29,yes,yes,no,no,yes,no,yes,no,no
30,yes,yes,yes,no,yes,no,yes,no,no
31,yes,yes,yes,yes,yes,no,yes,no,no
32,yes,yes,yes,no,yes,yes,yes,no,no
33,yes,yes,no,no,yes,no,yes,no,no
34,yes,yes,yes,no,yes,yes,yes,no,no
35,yes,yes,no,no,yes,no,yes,no,no
36,yes,yes,yes,yes,yes,yes,yes,no,no
37,yes,yes,no,yes,yes,yes,yes,no,no
38,yes,yes,no,yes,yes,yes,yes,no,no
39,yes,yes,no,no,yes,no,no,no,no
40,yes,yes,no,no,yes,no,no,no,no
41,yes,yes,no,no,yes,yes,yes,no,no
42,yes,yes,no,no,yes,no,yes,no,no
43,yes,yes,no,no,yes,no,yes,no,no
44,yes,yes,no,no,yes,no,no,no,no
45,yes,yes,no,no,yes,no,no,no,no
46,yes,yes,no,yes,yes,no,yes,no,no
47,yes,yes,no,no,yes,no,no,no,no
48,yes,yes,no,yes,yes,no,yes,no,no
49,yes,yes,no,no,yes,yes,yes,no,no
50,yes,yes,yes,no,yes,no,yes,no,no
51,yes,yes,no,no,yes,yes,yes,no,no
52,yes,yes,yes,no,yes,yes,yes,no,no
53,yes,yes,yes,yes,yes,yes,yes,no,no
54,yes,yes,yes,yes,yes,no,yes,no,no
55,yes,yes,yes,no,yes,yes,yes,no,no
56,yes,yes,no,no,yes,no,no,no,no
57,yes,yes,yes,no,yes,yes,yes,no,no
58,yes,yes,yes,no,no,no,no,no,no
59,yes,yes,yes,yes,yes,yes,yes,no,no
60,yes,yes,yes,no,yes,no,yes,no,no
61,yes,yes,no,yes,yes,yes,yes,no,no
62,yes,yes,no,no,yes,no,yes,no,no
63,yes,yes,no,yes,yes,no,yes,no,no
64,yes,yes,yes,yes,yes,yes,yes,no,no
65,yes,yes,no,yes,yes,no,yes,no,no
66,yes,yes,yes,yes,yes,no,yes,no,no
67,yes,yes,no,yes,yes,no,yes,no,no
68,no,yes,no,no,no,no,no,no,no
69,yes,yes,yes,no,yes,no,yes,no,no
70,yes,yes,yes,no,yes,no,yes,no,no
71,yes,yes,yes,no,yes,yes,yes,no,no
72,no,yes,no,no,no,no,no,no,no
