Postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
1,6.9,4.6,5.0,6.1,3.0,5.0,1.0,5.0,5.0
2,8.7,11.6,5.0,9.2,10.2,7.0,8.5,8.5,8.5
3,9.6,12.2,10.7,12.9,7.8,10.7,180.0,10.7,10.7
4,8.0,7.9,6.1,7.7,7.7,7.7,7.2,7.7,7.7
5,7.8,8.8,3.6,7.1,6.2,8.2,1.0,7.7,7.7
6,8.2,6.6,1.0,10.2,7.0,7.4,1.0,7.2,7.2
7,8.7,7.7,7.6,8.3,1.7,7.6,8.2,7.6,7.6
8,10.1,10.0,1.6,9.1,6.4,9.1,8.1,9.1,9.1
9,7.7,7.4,9.8,9.2,8.7,8.8,8.8,8.8,8.8
10,7.8,8.5,24.3,7.9,3.4,7.6,8.9,8.9,8.9
11,6.0,9.6,9.5,9.5,5.3,9.5,9.6,9.5,9.5
12,8.0,9.7,9.0,9.0,9.0,9.0,9.0,9.0,9.0
13,9.3,8.5,6.9,8.0,7.4,8.0,7.6,8.0,8.0
14,10.6,7.3,8.2,10.7,17.2,10.7,9.2,10.7,10.7
15,7.8,8.6,4.2,7.4,10.5,7.4,6.9,7.4,7.4
16,8.5,7.8,6.7,9.5,14.6,9.5,8.5,9.5,9.5
17,12.7,7.2,8.1,8.5,9.4,8.5,6.0,8.5,8.5
18,9.1,9.5,6.6,8.4,9.1,8.4,8.1,8.4,8.4
19,10.4,8.8,5.5,9.5,11.8,9.5,9.8,9.5,9.5
20,8.1,7.3,12.3,8.5,7.4,8.5,6.5,8.5,8.5
21,6.2,7.4,6.9,6.9,3.6,6.9,9.0,6.9,6.9
22,9.9,7.1,7.6,8.9,8.6,8.9,9.7,8.9,8.9
23,8.3,8.7,8.6,8.6,7.7,8.6,8.6,8.6,8.6
24,8.0,8.8,8.5,11.3,6.8,8.0,7.9,8.4,8.4
25,8.4,9.9,7.5,10.3,7.7,8.7,7.2,9.1,9.1
26,10.3,6.1,7.5,10.2,6.6,8.4,7.1,8.6,8.6
27,7.2,8.2,8.3,14.8,8.6,9.1,7.9,8.6,8.6
28,9.0,9.8,4.4,7.3,5.7,9.9,5.9,8.9,8.9
29,5.9,9.5,6.8,8.6,8.0,8.6,8.5,8.6,8.6
30,8.3,7.9,9.2,11.3,6.4,7.4,6.8,7.9,7.9
31,7.3,8.1,9.0,14.0,8.6,4.8,7.6,7.7,7.7
32,8.7,9.9,10.7,8.7,7.2,8.0,8.2,8.9,8.9
33,4.6,7.1,8.7,8.4,7.3,8.4,9.5,8.4,8.4
34,8.8,5.6,8.0,9.2,7.2,8.6,8.9,7.7,7.7
35,8.7,7.9,6.2,8.5,10.0,8.5,6.6,8.5,8.5
36,7.7,9.2,2.8,8.4,8.8,6.6,7.7,7.3,7.3
37,8.7,8.9,9.5,11.6,8.2,9.4,8.6,9.5,9.5
38,7.4,7.0,6.4,5.2,7.3,6.3,7.1,6.7,6.7
39,7.5,7.7,7.9,7.9,8.6,7.9,7.9,7.9,7.9
40,5.4,7.5,6.5,6.5,6.1,6.5,6.5,6.5,6.5
41,8.0,6.8,8.3,7.7,7.3,6.9,7.9,7.7,7.7
42,8.7,8.3,5.4,8.6,7.2,8.6,8.1,8.6,8.6
43,85.7,2.1,6.5,6.5,8.7,6.5,6.9,6.5,6.5
44,4.6,4.5,4.4,4.4,3.8,4.4,4.4,4.4,4.4
45,5.6,14.5,8.0,8.0,5.4,8.0,8.0,8.0,8.0
46,7.6,6.3,8.5,1.7,7.3,6.1,6.7,6.1,6.1
47,7.4,9.0,9.5,8.1,9.7,8.1,8.1,8.1,8.1
48,8.6,10.0,7.7,8.1,7.1,7.7,5.1,7.7,7.7
49,6.7,11.1,9.2,9.2,6.2,9.7,12.6,9.2,9.2
50,10.4,9.0,6.9,7.4,6.5,8.6,9.3,8.7,8.7
51,10.1,7.3,9.6,9.6,8.0,8.5,12.2,9.6,9.6
52,9.6,10.3,5.8,9.7,8.3,8.2,5.5,7.8,7.8
53,8.7,7.7,10.4,6.4,9.5,7.1,9.7,9.1,9.1
54,11.8,6.8,8.8,8.6,10.8,9.0,9.9,9.1,9.1
55,8.7,7.8,8.1,8.9,8.4,7.2,10.5,8.9,8.9
56,8.0,10.8,9.3,9.3,8.1,9.3,1.0,9.3,9.3
57,8.6,9.2,7.0,6.9,5.9,7.0,6.6,8.6,8.6
58,11.5,8.2,9.5,9.9,7.4,10.7,9.2,9.2,9.2
59,8.8,6.4,7.7,8.4,9.3,6.1,10.6,8.8,8.8
60,9.3,10.6,8.2,9.5,6.6,9.7,6.5,8.4,8.4
61,9.5,9.2,9.7,8.7,9.9,8.3,10.1,9.7,9.7
62,11.9,9.1,9.0,9.0,8.6,9.0,5.5,9.0,9.0
63,10.0,10.3,8.3,5.5,6.7,2.7,9.9,8.3,8.3
64,1.9,9.3,7.2,1.0,4.4,8.2,9.0,7.4,7.4
65,10.8,9.3,9.4,11.3,5.3,9.4,10.2,9.4,9.4
66,9.6,7.7,10.5,5.9,6.4,8.6,9.8,8.6,8.6
67,10.1,7.3,9.3,9.1,8.6,9.3,9.0,9.3,9.3
68,8.5,6.8,8.5,8.5,8.5,8.5,8.5,8.5,8.5
69,8.9,8.8,6.8,7.7,6.6,8.5,10.5,8.0,8.0
70,7.8,10.6,7.8,8.3,8.1,8.3,8.1,8.3,8.3
71,7.6,9.2,6.7,10.1,8.0,7.9,8.2,8.1,8.1
72,9.6,8.5,9.6,9.6,9.6,9.6,9.6,9.6,9.6
